JAHR;EINRICHTUNGSTYP;ALTERSKLASSE;WOHNUNGSTYP;JAHR_1_NACH_ERSTELLUNG;JAHR_2_NACH_ERSTELLUNG;JAHR_3_NACH_ERSTELLUNG;JAHR_4_NACH_ERSTELLUNG;JAHR_5_NACH_ERSTELLUNG;JAHR_6_NACH_ERSTELLUNG;JAHR_7_NACH_ERSTELLUNG;JAHR_8_NACH_ERSTELLUNG;JAHR_9_NACH_ERSTELLUNG;JAHR_10_NACH_ERSTELLUNG
2017;Kinderkrippe;0-2;Ein- und Zweifamilienhäuser;0.2868;0.2639;0.2151;0.1755;0.1434;0.1219;0.1165;0.0944;0.0821;0.0766
2017;Kinderkrippe;0-2;Wohneinheiten im MünchenModell;0.3917;0.3173;0.2538;0.2098;0.1806;0.1626;0.1463;0.1317;0.1185;0.1067
2017;Kinderkrippe;0-2;geförderter Mietwohnungsbau;0.254;0.1936;0.1547;0.1431;0.1348;0.1236;0.119;0.1035;0.1055;0.0925
2017;Kinderkrippe;0-2;freifinanzierter Geschosswohnungsbau;0.1404;0.1363;0.132;0.121;0.1137;0.1069;0.1011;0.0942;0.0898;0.0832
2017;Kindergarten;3-6,5;Ein- und Zweifamilienhäuser;0.3651;0.3976;0.4103;0.3581;0.3216;0.2725;0.2222;0.1936;0.173;0.1485
2017;Kindergarten;3-6,5;Wohneinheiten im MünchenModell;0.427;0.4753;0.4824;0.4452;0.3764;0.303;0.2489;0.2113;0.1863;0.1677
2017;Kindergarten;3-6,5;geförderter Mietwohnungsbau;0.2755;0.3065;0.3133;0.2833;0.2406;0.1994;0.1761;0.1656;0.1518;0.1381
2017;Kindergarten;3-6,5;freifinanzierter Geschosswohnungsbau;0.1204;0.1361;0.1478;0.1476;0.1393;0.1295;0.1185;0.1107;0.1034;0.0972
2017;Kinderhort;6,5-9,5;Ein- und Zweifamilienhäuser;0.2699;0.2961;0.3254;0.3751;0.4131;0.4315;0.4218;0.3871;0.3326;0.2857
2017;Kinderhort;6,5-9,5;Wohneinheiten im MünchenModell;0.3054;0.3371;0.3767;0.4247;0.4752;0.5078;0.5024;0.4577;0.3853;0.3131
2017;Kinderhort;6,5-9,5;geförderter Mietwohnungsbau;0.2331;0.2546;0.2781;0.2886;0.3066;0.3273;0.3156;0.2845;0.2421;0.2007
2017;Kinderhort;6,5-9,5;freifinanzierter Geschosswohnungsbau;0.0856;0.0973;0.1084;0.121;0.1323;0.1402;0.1442;0.1395;0.1324;0.1228
2017;Grundschule;6,5-9,5;Ein- und Zweifamilienhäuser;0.2699;0.2961;0.3254;0.3751;0.4131;0.4315;0.4218;0.3871;0.3326;0.2857
2017;Grundschule;6,5-9,5;Wohneinheiten im MünchenModell;0.3054;0.3371;0.3767;0.4247;0.4752;0.5078;0.5024;0.4577;0.3853;0.3131
2017;Grundschule;6,5-9,5;geförderter Mietwohnungsbau;0.2331;0.2546;0.2781;0.2886;0.3066;0.3273;0.3156;0.2845;0.2421;0.2007
2017;Grundschule;6,5-9,5;freifinanzierter Geschosswohnungsbau;0.0856;0.0973;0.1084;0.121;0.1323;0.1402;0.1442;0.1395;0.1324;0.1228
2017;N.N.;alle EWO;Ein- und Zweifamilienhäuser;3.3645;3.5072;3.55;3.5385;3.5659;3.5683;3.5529;3.5602;3.5328;3.5335
2017;N.N.;alle EWO;Wohneinheiten im MünchenModell;3.3987;3.3477;3.2975;3.248;3.1993;3.1513;3.104;3.0575;3.0116;2.9665
2017;N.N.;alle EWO;geförderter Mietwohnungsbau;2.8184;2.8689;2.8884;2.9191;2.9268;2.9386;2.9562;2.9598;2.9836;2.9683
2017;N.N.;alle EWO;freifinanzierter Geschosswohnungsbau;2;2.1006;2.1571;2.1851;2.2014;2.2167;2.2339;2.2348;2.2442;2.2426
